size,%success no correlation no field,%success with correlation no field,%success no correlation with field,%success with correlation and field,%error no correlation no field,%error with correlation no field,%error no correlation with field,%error with correlation and field
5,1,1,0.77,0.69,0,0,0.000325828535624963,0.000274437776101383
6,0.98,0.99,0.67,0.69,0.000467514034234174,0.00307351040210815,0.00402414458164254,0.00194555251400886
7,0.93,0.95,0.62,0.73,0.0046256250796152,0.00251985048448513,0.0041598452635569,0.00119129675880036
8,0.94,0.98,0.59,0.61,0.00239343149734732,0.000257923164528899,0.00161353421465063,0.00834681736187153
9,0.87,0.93,0.63,0.64,0.0108225006116116,0.00297675977029028,0.00819958266711246,0.00320684690815764
10,0.89,0.96,0.53,0.59,0.00695856137968827,0.00346172930058026,0.00877233902428188,0.000883827476980506
11,0.87,0.95,0.43,0.6,0.0117097185713312,0.00300915016236203,0.0125678133257936,0.00274101293375824
12,0.82,0.97,0.38,0.64,0.0126287487986469,0.00368729024143866,0.0149526605861498,0.00392491110078993
13,0.76,0.97,0.55,0.54,0.0157338768435103,0.00179113527392091,0.00995735167096342,0.00109703605246618
14,0.85,0.97,0.53,0.58,0.00794943647569474,0.00366198800339988,0.00987873292861921,0.00222324796066314
15,0.68,0.95,0.47,0.61,0.016602860442851,0.00245486890027265,0.0181176508373708,0.00207851274906106
16,0.73,0.95,0.37,0.5,0.0176935379269328,0.00363908279653491,0.0211462152695079,0.000697427089106424
17,0.76,0.98,0.33,0.59,0.0112370643107177,0.00184339577790227,0.0220075172463008,0.00040254081662108
18,0.62,0.95,0.43,0.59,0.0187820297469361,0.00435968005411913,0.0162096126258297,0.00195881783619763
19,0.67,0.98,0.32,0.52,0.0149946048965817,0.000129829585238047,0.019655975272971,0.00194892474764207
20,0.67,1,0.32,0.53,0.0178792150105027,0,0.0219293616337602,0.00527074370640741
